학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000025726,아산테크노중학교,중학교,2017-03-01,공립,본교,운영,충청남도 아산시 둔포면 석곡리 1782,충청남도 아산시 둔포면 아산밸리북로 32. 아산테크노중학교 (둔포면),8140000,충청남도교육청,8181000,충청남도아산교육지원청,2013-11-29,2018-08-22,36.92648648,127.0517466,2018-09-10,B090027,한국교육개발원
B000002533,동항초등학교,초등학교,1939-04-01,공립,본교,운영,부산광역시 남구 감만동 312,부산광역시 남구 우암로 42. 동항초등학교 (감만동. 동항초등학교),7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2013-11-29,2018-08-22,35.11429749,129.0825604,2018-09-10,B090027,한국교육개발원
B000026689,별가람초등학교,초등학교,2015-03-01,공립,본교,운영,경기도 남양주시 별내동 920,경기도 남양주시 별내3로 173. 별가람초등학교 (별내동),7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2018-08-22,37.65404379,127.1243411,2018-09-10,B090027,한국교육개발원
B000011812,부산기계공업고등학교,고등학교,1967-03-11,국립,본교,운영,부산광역시 해운대구 우동 471 부산기계공업고등학교,부산광역시 해운대구 해운대로 569(우동),7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2018-08-22,35.16210158,129.154384,2018-09-10,B090027,한국교육개발원
B000004731,광사초등학교,초등학교,2010-03-01,공립,본교,운영,경기도 양주시 광사동 660,경기도 양주시 고읍남로191번길 12. 광사초등학교 (광사동),7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2013-11-29,2018-08-22,37.79113573,127.0837993,2018-09-10,B090027,한국교육개발원
B000005377,강내초등학교,초등학교,1928-03-01,공립,본교,운영,충청북도 청주시 흥덕구 강내면 다락리 348-1,충청북도 청주시 흥덕구 강내면 태성탑연로 117. 강내초등학교 (강내면),8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,2018-08-22,36.59702511,127.356827,2018-09-10,B090027,한국교육개발원
B000007805,유어초등학교,초등학교,1926-10-01,공립,본교,운영,경상남도 창녕군 유어면 부곡리 481,경상남도 창녕군 유어면 마수원길 39(유어면. 유어초등학교),9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2013-11-29,2018-08-22,35.50887408,128.4109906,2018-09-10,B090027,한국교육개발원
B000002095,상명대학교사범대학부속초등학교,초등학교,1966-05-17,사립,본교,운영,서울특별시 종로구 홍지동 56,서울특별시 종로구 홍지문2길 1. 상명사대부속초등학교 (홍지동),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2018-08-22,37.60075792,126.9563523,2018-09-10,B090027,한국교육개발원
B000011393,부산산업과학고등학교,고등학교,1970-03-26,공립,본교,운영,부산광역시 강서구 봉림동 15,부산광역시 강서구 가락대로 1393 (봉림동.부산산업과학고등학교),7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2013-11-29,2018-08-22,35.18841821,128.9034374,2018-09-10,B090027,한국교육개발원
B000012159,브니엘고등학교,고등학교,1963-09-15,사립,본교,운영,부산광역시 금정구 구서동 50-1,부산광역시 금정구 체육공원로 154 (구서동),7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2018-08-22,35.25554187,129.1035399,2018-09-10,B090027,한국교육개발원
B000008556,부곡중학교,중학교,1969-11-10,공립,본교,운영,부산광역시 금정구 부곡동 산 56-3,부산광역시 금정구 동부곡로 15번길 102-20 (부곡동. 부곡중학교),7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2018-08-22,35.23086573,129.0959307,2018-09-10,B090027,한국교육개발원
B000008523,성동중학교,중학교,1972-06-03,공립,본교,운영,부산광역시 남구 문현동 791,부산광역시 남구 남동천로 38 (문현동),7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2013-11-29,2018-08-22,35.14088553,129.0657423,2018-09-10,B090027,한국교육개발원
B000026692,한별중학교,중학교,2014-09-01,공립,본교,운영,경기도 남양주시 별내동 1055,경기도 남양주시 별내4로 70(별내동),7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2018-08-22,37.64861577,127.1190463,2018-09-10,B090027,한국교육개발원
B000011942,동국대학교사범대학부속고등학교,고등학교,1947-06-24,사립,본교,운영,서울특별시 동대문구 장안동 328,서울특별시 동대문구 장안벚꽃로 201. 동국대학교사범대학부속고등학교 (장안동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2018-08-22,37.57749539,127.0744645,2018-09-10,B090027,한국교육개발원
B000011220,수동중학교,중학교,1954-07-03,공립,본교,운영,경상남도 함양군 수동면 화산리 1010,경상남도 함양군 수동면 수동내동길 19(수동면),9010000,경상남도교육청,9201000,경상남도함양교육지원청,2013-11-29,2018-08-22,35.52403298,127.7893568,2018-09-10,B090027,한국교육개발원
B000013537,서대전여자고등학교,고등학교,1984-03-02,사립,본교,운영,대전광역시 서구 도마동 420-3,대전광역시 서구 배재로197번길 20. 서대전여자고등학교 (도마동. 서대전여자고등학교),7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2018-08-22,36.32668138,127.3687101,2018-09-10,B090027,한국교육개발원
